"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Blockchain-Based Software-Defined Industrial Internet of Things: A Dueling Deep Q-Learning Approach","C. Qiu; F. R. Yu; H. Yao; C. Jiang; F. Xu; C. Zhao","NA; NA; NA; NA; NA; NA","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2871394","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8469030","Industrial Internet of Things (IIoT);software-defined networking (SDN);multiple controllers;blockchain;dueling deep Q-learning.","Protocols;Internet of Things;Computational modeling;Synchronization;Computer architecture;Aerospace electronics","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Blockchain: A game changer for securing IoT data","M. Singh; A. Singh; S. Kim","Yonsei Institute of Convergence Technology, Yonsei University, Songdo South Korea; Department of Mechanical Engineering, IIT-Roorkee, Roorkee, India; School of Integrated Technology, Yonsei University, Seoul, South Korea","2018 IEEE 4th World Forum on Internet of Things (WF-IoT)","","2018","","","51","55","","","","10.1109/WF-IoT.2018.8355182","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8355182","Internet of things;Blockchain;Security;Devices;Network","Peer-to-peer computing;Cryptography;Internet of Things;Servers;Automobiles","Internet of Things;security of data","online systems;security technologies;secure IoT systems;blockchain technology;Blockchain network;initial stage;IoT devices;cyber-attacks;IoT data","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain and the Internet of Things in the Industrial Sector","D. Miller","IBM","IT Professional","","2018","20","3","15","18","","","","10.1109/MITP.2018.032501742","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8378971","Blockchain;IoT;blockchain and industrial sector;blockchain technologies;internet of things;blockchain and IoT","Maintenance engineering;Industrial engineering;Internet of Things;Supply chains;Blockchain","Internet of Things;organisational aspects","industrial market;industrial sector;Internet of Things;IoT;business opportunities","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Can Blockchain Strengthen the Internet of Things?","N. Kshetri","University of North Carolina at Greensboro","IT Professional","","2017","19","4","68","72","","","","10.1109/MITP.2017.3051335","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8012302","blockchain;cloud computing;cybersecurity;identity and access management;Internet of Things;Mirai malware","Supply chains;Cloud computing;Computer crime;Servers;Cryptography;Internet of Things;Identity management;Malware","cloud computing;cryptography;file servers;Internet of Things;organisational aspects;production engineering computing;supply chains","Internet of Things;security strengthening;blockchain-IoT security nexus;blockchain-based solutions;IoT ecosystem;centralized cloud servers;blockchain decentralized nature;manipulation;forgery;malicious participants;blockchain-based identity;access management systems;supply chains;IoT security breach;organization initiatives;interorganizational networks","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Blockchain and Internet of Things data provider for smart applications","B. C. Florea","Department of Applied Electronics and Information Engineering, Politehnica University of Bucharest, Bucharest, Romania","2018 7th Mediterranean Conference on Embedded Computing (MECO)","","2018","","","1","4","","","","10.1109/MECO.2018.8406041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406041","blockchain;internet of things;decentralized;distributed;data provider;tangle","Cryptography;Peer-to-peer computing;Distributed databases;Embedded computing;Internet of Things;Computers","cryptography;data privacy;Internet of Things;peer-to-peer computing","decentralized applications;smart applications;blockchain technology;peer-to-peer network;decentralized distributed ledger;Internet of Things data provider;anonymous transaction;central authority;cryptographic proof","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain as a Service for IoT","M. Samaniego; R. Deters","NA; NA","2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","","2016","","","433","436","","","","10.1109/iThings-GreenCom-CPSCom-SmartData.2016.102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917130","Blockchain as a service;IoT;edge","Delays;Cloud computing;Internet of Things;Distributed databases;Computer science;Online banking;Bandwidth","cloud computing;Internet of Things","IoT;blockchain as a service;decentralized ledger approach;distributed ledger approach;decentralized organization;distributed organization;device configuration management;sensor data storage;edge hosted blockchain;cloud hosted blockchain;fog computing","","","","","","","","","","IEEE","IEEE Conferences"
"Continuous Security in IoT Using Blockchain","R. Agrawal; P. Verma; R. Sonanis; U. Goel; A. De; S. A. Kondaveeti; S. Shekhar","Samsung Research Institute Bangalore; Samsung Research Institute Bangalore; Samsung Research Institute Bangalore; Samsung Research Institute Bangalore; Samsung Research Institute Bangalore; Samsung Research Institute Bangalore; Samsung Research Institute Bangalore","2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2018","","","6423","6427","","","","10.1109/ICASSP.2018.8462513","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8462513","Internet of Things;blockchain;continuous security;digital crypto-token","Internet of Things;Cryptography;Markov processes;Predictive models;Data models","authorisation;Internet of Things","blockchain;IoT environment;continuous security;smart buildings;smart cities;IoT security solution;immutable nature;decentralized nature;valid IoT-Zone;user intervention;user interaction;IoT-trail;Internet of Things infrastructure","","","","","","","","","","IEEE","IEEE Conferences"
"AlkylVM: A Virtual Machine for Smart Contract Blockchain Connected Internet of Things","J. Ellul; G. J. Pace","NA; NA","2018 9th IFIP International Conference on New Technologies, Mobility and Security (NTMS)","","2018","","","1","4","","","","10.1109/NTMS.2018.8328732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8328732","Blockchain;Internet of Things;Smart contracts;Virtual Machines;Distributed ledgers","Contracts;Virtual machining;Internet of Things;Performance evaluation;Computer architecture;Automation","contracts;Internet of Things;virtual machines","IoT devices;split-virtual machine;verifiable automation;blockchain systems;Internet-connected devices;verifiable digital processes;blockchain technology;smart contract blockchain;AlkylVM","","","","","","","","","","IEEE","IEEE Conferences"
"The applicability of blockchain in the Internet of Things","Y. Gupta; R. Shorey; D. Kulkarni; J. Tew","Department of Computer Science and Engineering, Indian Institute of Technology Delhi, New Delhi, India; Tata Consultancy Services (TCS) Innovation Labs, Tata Consultancy Services, India/USA; Tata Consultancy Services (TCS) Innovation Labs, Tata Consultancy Services, India/USA; Tata Consultancy Services (TCS) Innovation Labs, Tata Consultancy Services, India/USA","2018 10th International Conference on Communication Systems & Networks (COMSNETS)","","2018","","","561","564","","","","10.1109/COMSNETS.2018.8328273","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8328273","blockchain;IoT security;distributed consensus","Peer-to-peer computing;Security;Protocols;Internet of Things;Bandwidth;Computational modeling","Internet of Things;security of data","Blockchain consensus model;resource constrained devices;IoT security;data security;Internet of Things network;Blockchain technology","","","","","","","","","","IEEE","IEEE Conferences"
"Consortium Blockchain for Secure Energy Trading in Industrial Internet of Things","Z. Li; J. Kang; R. Yu; D. Ye; Q. Deng; Y. Zhang","College of Information Engineering, Xiangtan University, Xiangtan, Chian; School of AutomationGuangdong University of Technology; School of AutomationGuangdong University of Technology; School of AutomationGuangdong University of Technology; School of Information and Communication Engineering, Beijing University of Posts and Telecommunications, Beijing, China; University of Oslo, Norway","IEEE Transactions on Industrial Informatics","","2018","14","8","3690","3700","","","","10.1109/TII.2017.2786307","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8234700","Blockchain;energy trading;industrial Internet of things (IIoT);security and privacy;Stackelberg game","Peer-to-peer computing;Microgrids;Energy harvesting;Security;Servers;Pricing","data privacy;game theory;peer-to-peer computing;power engineering computing;power markets;power system security;pricing","privacy challenges;untrusted energy markets;nontransparent energy markets;security challenges;consortium blockchain technology;P2P energy trading;credit-based payment scheme;frequent energy trading;peer-to-peer energy trading;common security;Industrial Internet of Things;secure energy trading system","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Poster Abstract: Privacy in Blockchain-Enabled IoT Devices","A. Pouraghily; M. N. Islam; S. Kundu; T. Wolf","NA; NA; NA; NA","2018 IEEE/ACM Third International Conference on Internet-of-Things Design and Implementation (IoTDI)","","2018","","","292","293","","","","10.1109/IoTDI.2018.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367006","Blockchain;IOT;Privacy","Contracts;Cameras;Feeds;Privacy;Computer architecture;Hardware","contracts;data privacy;electronic money;financial data processing;Internet of Things","privacy;blockchain-enabled IoT devices;societal problems;IoT systems;hardware infrastructure;capital cost;architectural guideline;multiple blockchain ecosystems;blockchain smart contracts;Internet connectivity;IoT solutions","","","","","","","","","","IEEE","IEEE Conferences"
"Application of Blockchain Technology in Smart City Infrastructure","S. Li","NA","2018 IEEE International Conference on Smart Internet of Things (SmartIoT)","","2018","","","276","2766","","","","10.1109/SmartIoT.2018.00056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465562","Smart-City;Blockchain;Energy-Internet;Big-Data;Internet-of-Things","Internet of Things;Smart cities;Big Data;Cryptography","cryptography;data privacy;Internet;Internet of Things;peer-to-peer computing;smart cities;transportation","peer-to-peer characteristics;data center;Blockchain data storage;user privacy leakage;big data;IoT equipment;redundant storage;transparent interconnection;open interconnection;distributed P2P network common intelligence accounting technology;energy Internet users trust;data center construction;high operating costs;equipment maintenance;government affairs;intelligent solutions;smart city infrastructure;Blockchain technology","","","","","","","","","","IEEE","IEEE Conferences"
"Peer to Peer for Privacy and Decentralization in the Internet of Things","M. Conoscenti; A. Vetrò; J. C. De Martin","NA; NA; NA","2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)","","2017","","","288","290","","","","10.1109/ICSE-C.2017.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965333","privacy;internet of things;peer to peer;blockchain","Peer-to-peer computing;Bitcoin;Companies;Scalability;Data privacy;Internet of Things","data privacy;Internet of Things;peer-to-peer computing","Internet of Things;decentralized private-by-design IoT;personal IoT devices;privacy;peer-to-peer storage networks;blockchain","","","","","","","","","","IEEE","IEEE Conferences"
"A Blockchain Based New Secure Multi-Layer Network Model for Internet of Things","C. Li; L. Zhang","NA; NA","2017 IEEE International Congress on Internet of Things (ICIOT)","","2017","","","33","41","","","","10.1109/IEEE.ICIOT.2017.34","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8039052","Internet of things;Blockchain;Network model;Security","Cloud computing;Security;Distributed databases;Servers;Internet of Things;Data models;Performance evaluation","Internet of Things","block chain technology;high security;credibility assurance;blockchain technology;wide-area networking solution;secure multilayer network model;multilayer secure IoT network model;internet of things;multilevel decentric network","","","","","","","","","","IEEE","IEEE Conferences"
"Block chain based data security enhanced IoT server platform","J. H. Jeon; K. Kim; J. Kim","Graduate School of Ajou University, Knowledge Information Security, 206, World cup-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea; Graduate School of Ajou University, 206, World cup-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea; Graduate School of Ajou University, 206, World cup-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea","2018 International Conference on Information Networking (ICOIN)","","2018","","","941","944","","","","10.1109/ICOIN.2018.8343262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8343262","IoT;security;Database;Block Chain","Servers;Security;Contracts;Online banking;Internet of Things","Internet of Things;security of data;SQL","IoT server platform;real-time sensor data;Mysql server;Mysql's Mobius configuration;data storage method;server configuration method;data security;block chain based data security;server construction method","","","","","","","","","","IEEE","IEEE Conferences"
