"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3098442","Marco  Conoscenti and Antonio  Vetr&#242; and Juan Carlos De Martin","","","","Peer to Peer for Privacy and Decentralization in the Internet of Things","288--290","","3","block-chain, internet of things, peer to peer, privacy","10.1109/ICSE-C.2017.60","","","","","","","2017","","Proceedings of the 39th International Conference on Software Engineering Companion","ICSE-C '17","","978-1-5386-1589-8","Buenos Aires, Argentina","IEEE Press","Piscataway, NJ, USA"
"article","3140263","Arnaud  Durand and Pascal  Gremaud and Jacques  Pasquier","","","","Decentralized Web of Trust and Authentication for the Internet of Things","27:1--27:2","27","2","IoT, authentication, blockchain, public key infrastructure","10.1145/3131542.3140263","","","","","","","2017","","Proceedings of the Seventh International Conference on the Internet of Things","IoT '17","","978-1-4503-5318-2","Linz, Austria","ACM","New York, NY, USA"
"article","3123157","Andreas  Bogner","","","","Seeing is Understanding: Anomaly Detection in Blockchains with Visualized Features","5--8","","4","anomaly detection, block-chain, ethereum, machine learning, visualization","10.1145/3123024.3123157","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3152392","Michael A. Walker and Abhishek  Dubey and Aron  Laszka and Douglas C. Schmidt","","","","PlaTIBART: A Platform for Transactive IoT Blockchain Applications with Repeatable Testing","17--22","","6","blockchain, design patterns, internet of things, testing","10.1145/3152141.3152392","","","","","","","2017","","Proceedings of the 4th Workshop on Middleware and Applications for the Internet of Things","M4IoT '17","","978-1-4503-5170-6","Las Vegas, Nevada","ACM","New York, NY, USA"
"article","3126980","Jun  Lin and Zhiqi  Shen and Chunyan  Miao","","","","Using Blockchain Technology to Build Trust in Sharing LoRaWAN IoT","38--43","","6","Blockchain, Internet of Things, LoRa, LoRaWAN","10.1145/3126973.3126980","","","","","","","2017","","Proceedings of the 2Nd International Conference on Crowd Science and Engineering","ICCSE'17","","978-1-4503-5375-5","Beijing, China","ACM","New York, NY, USA"
"article","3055003","Ali  Dorri and Salil S. Kanhere and Raja  Jurdak","","","","Towards an Optimized BlockChain for IoT","173--178","","6","BlockChain, Internet of Things, Privacy, Security","10.1145/3054977.3055003","","","","","","","2017","","Proceedings of the Second International Conference on Internet-of-Things Design and Implementation","IoTDI '17","","978-1-4503-4966-6","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","3211938","Arnaud  Durand and Pascal  Gremaud and Jacques  Pasquier","","","","Resilient, Crowd-sourced LPWAN Infrastructure Using Blockchain","25--29","","5","Internet of Things, LoRaWAN, blockchain, distributed systems","10.1145/3211933.3211938","","","","","","","2018","","Proceedings of the 1st Workshop on Cryptocurrencies and Blockchains for Distributed Systems","CryBlock'18","","978-1-4503-5838-5","Munich, Germany","ACM","New York, NY, USA"
"article","3131563","Muhammad Salek Ali and Koustabh  Dolui and Fabio  Antonelli","","","","IoT Data Privacy via Blockchains and IPFS","14:1--14:7","14","7","blockchain, computer networks, distributed access model, internet of things, privacy","10.1145/3131542.3131563","","","","","","","2017","","Proceedings of the Seventh International Conference on the Internet of Things","IoT '17","","978-1-4503-5318-2","Linz, Austria","ACM","New York, NY, USA"
"article","2899012","Thomas  Hardjono and Ned  Smith","","","","Cloud-Based Commissioning of Constrained Devices Using Permissioned Blockchains","29--36","","8","blockchains, identity management, internet of things, privacy, security","10.1145/2899007.2899012","","","","","","","2016","","Proceedings of the 2Nd ACM International Workshop on IoT Privacy, Trust, and Security","IoTPTS '16","","978-1-4503-4283-4","Xi'an, China","ACM","New York, NY, USA"
"article","3209391","Lingjun  Fan and J. Ramon Gil-Garcia and Derek  Werthmuller and G Brian Burke and Xuehai  Hong","","","","Investigating Blockchain As a Data Management Tool for IoT Devices in Smart City Initiatives","100:1--100:2","100","2","IoT data management, blockchain, ethereum, internet of things, smart contracts","10.1145/3209281.3209391","","","","","","","2018","","Proceedings of the 19th Annual International Conference on Digital Government Research: Governance in the Data Age","dg.o '18","","978-1-4503-6526-0","Delft, The Netherlands","ACM","New York, NY, USA"
