Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Durand A., Gremaud P., Pasquier J.","56911881100;57190124277;7103140281;","Decentralized LPWAN infrastructure using blockchain and digital signatures",2020,"Concurrency Computation ","32","12", e5352,"","",,3,"10.1002/cpe.5352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066912156&doi=10.1002%2fcpe.5352&partnerID=40&md5=0ff2bfd1a95bfcbf3f4c373b79377610","Department of Informatics, University of Fribourg, Fribourg, Switzerland","Durand, A., Department of Informatics, University of Fribourg, Fribourg, Switzerland; Gremaud, P., Department of Informatics, University of Fribourg, Fribourg, Switzerland; Pasquier, J., Department of Informatics, University of Fribourg, Fribourg, Switzerland","This paper introduces a fully decentralized low-power wide-area network (LPWAN) infrastructure for the Internet of Things (IoT) using the LoRa protocol. While global LPWANs typically require roaming agreements between network providers and a trusted third party for server resolution, we propose a trustless model where the network servers are resolved using a blockchain application. Since LoRaWAN relies on symmetric cryptography, we also propose a new security model that adds non-repudiation using digital signatures. This paves the way for linking devices to decentralized applications. We finally analyze the impact of this new model on message size and energy requirements. © 2019 John Wiley & Sons, Ltd.","blockchain; distributed systems; Internet of Things; LoRaWAN","Authentication; Blockchain; Internet of things; Low power electronics; Network security; Distributed systems; Energy requirements; Internet of thing (IOT); LoRaWAN; Network provider; Non repudiation; Symmetric cryptography; Trusted third parties; Wide area networks",Conference Paper,"Final",,Scopus,2-s2.0-85066912156
"Venkatesh V.G., Kang K., Wang B., Zhong R.Y., Zhang A.","55757718200;57188832378;57211894551;55353690000;55540619700;","System architecture for blockchain based transparency of supply chain social sustainability",2020,"Robotics and Computer-Integrated Manufacturing","63",, 101896,"","",,5,"10.1016/j.rcim.2019.101896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075264877&doi=10.1016%2fj.rcim.2019.101896&partnerID=40&md5=9a77e1823f0e9b5827b329501b3b98a3","Ecole de Management de Normandie, 30 Rue de Richelieu, Le Havre, 76087, France; Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Hong Kong; Auckland University of Technology (AUT) Business School, AUT University, Private Bag 92006, Auckland, 1142, New Zealand; Lumen Research Institute, Excelsia College and Indiana Wesleyan University, 69-71 Waterloo Road, Macquarie Park, NSW  2113, Australia","Venkatesh, V.G., Ecole de Management de Normandie, 30 Rue de Richelieu, Le Havre, 76087, France; Kang, K., Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Hong Kong; Wang, B., Auckland University of Technology (AUT) Business School, AUT University, Private Bag 92006, Auckland, 1142, New Zealand; Zhong, R.Y., Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Hong Kong; Zhang, A., Auckland University of Technology (AUT) Business School, AUT University, Private Bag 92006, Auckland, 1142, New Zealand, Lumen Research Institute, Excelsia College and Indiana Wesleyan University, 69-71 Waterloo Road, Macquarie Park, NSW  2113, Australia","Social sustainability is a major concern in global supply chains for protecting workers from exploitation and for providing a safe working environment. Although there are stipulated standards to govern supply chain social sustainability, it is not uncommon to hear of businesses being reported for noncompliance issues. Even reputable firms such as Unilever have been criticized for production labor exploitation. Consumers now increasingly expect sellers to disclose information on social sustainability, but sellers are confronted with the challenge of traceability in their multi-tier global supply chains. Blockchain offers a promising future to achieve instant traceability in supply chain social sustainability. This study develops a system architecture that integrates the use of blockchain, internet-of-things (IoT) and big data analytics to allow sellers to monitor their supply chain social sustainability efficiently and effectively. System implementation cost and potential challenges are analyzed before the research is concluded. © 2019 Elsevier Ltd","Blockchain; Multi-tier supply chain; Social sustainability; Supply chain sustainability; Traceability","Blockchain; Computer architecture; Data Analytics; Internet of things; Supply chains; Global supply chain; Internet of Things (IOT); Multi-tier; Social sustainability; System architectures; System implementation; Traceability; Working environment; Sustainable development",Article,"Final",,Scopus,2-s2.0-85075264877
"Bumblauskas D., Mann A., Dugan B., Rittmer J.","35785862300;26424675900;57211263743;57211274770;","A blockchain use case in food distribution: Do you know where your food has been?",2020,"International Journal of Information Management","52",, 102008,"","",,6,"10.1016/j.ijinfomgt.2019.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073210750&doi=10.1016%2fj.ijinfomgt.2019.09.004&partnerID=40&md5=c8a6bbb3ab5b3d6906056184bda70556","Department of Management, University of Northern Iowa, Postal Address: 262 Curris Business Bldg., Cedar Falls, IA  50614-0125, United States; Bytable Inc., United States","Bumblauskas, D., Department of Management, University of Northern Iowa, Postal Address: 262 Curris Business Bldg., Cedar Falls, IA  50614-0125, United States; Mann, A., Department of Management, University of Northern Iowa, Postal Address: 262 Curris Business Bldg., Cedar Falls, IA  50614-0125, United States; Dugan, B., Bytable Inc., United States; Rittmer, J., Bytable Inc., United States","This paper aims to explain the implementation of blockchain technology in the production and supply chain delivery system for eggs from farm to consumer by a company based in the Midwestern USA. One of the primary research questions answered is how blockchain can be utilized and applied to more accurately and transparently move goods through global supply chains. This company is at the forefront of developing such systems for use in industry, and a use case for egg distribution is detailed. The goal is to track products from farm to fork using blockchain and internet of things (IoT) enabled technologies. By creating traceable and transparent supply chains for food, consumers can attain the information they need to make informed choices about the food they buy and the companies they support. For stakeholders in the food supply chain, having traceability and transparency builds better relationships with their customers, increases efficiency, and reduces the risk and cost of food recalls, fraud, and product loss. The blockchain technology and this business are creating a case for fixing and transforming the world's food system. © 2019 Elsevier Ltd","Blockchain; Food Distribution; Supply Chain Management; Technology & Innovation","Food supply; Internet of things; Supply chain management; Delivery systems; Food distribution; Food system; Global supply chain; Internet of Things (IOT); Research questions; Blockchain",Article,"Final",,Scopus,2-s2.0-85073210750
"Helo P., Shamsuzzoha A.H.M.","6506880314;24923645500;","Real-time supply chain—A blockchain architecture for project deliveries",2020,"Robotics and Computer-Integrated Manufacturing","63",, 101909,"","",,6,"10.1016/j.rcim.2019.101909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075777905&doi=10.1016%2fj.rcim.2019.101909&partnerID=40&md5=1584c0c8bcd1ff90d65c19362c8aa005","University of Vaasa, Networked Value Systems, School of Technology and Innovations, PO Box 700, Vaasa, FI-65101, Finland","Helo, P., University of Vaasa, Networked Value Systems, School of Technology and Innovations, PO Box 700, Vaasa, FI-65101, Finland; Shamsuzzoha, A.H.M., University of Vaasa, Networked Value Systems, School of Technology and Innovations, PO Box 700, Vaasa, FI-65101, Finland","Real-time tracking and tracing are important in providing a unified view of global supply chains consisting of several parties. This paper illustrates the needs and requirements for managing supply chains in multi-company project environments by adopting various tracking and tracing technologies. This kind of tracking and tracing is especially needed within distributed architectures engaged in project-based businesses, where several vendors are involved in a single project. Such tracking and tracing data can be used extensively to generate key performance indicators, which can be used to measure and control supply chain processes. This paper also proposes a pilot system of a cloud-based portal for real-time tracking and tracing of logistics and supply chains. This portal is formed by the combination of RFID, IoT and blockchain technology into an integrated real-time view. RFID (Radio Frequency Identification) and IoT (Internet of Things) provides real-time information or data, while blockchain technology is used to provide a chain of immutable transactions. The architecture of the proposed portal system is connected to transport companies, tracking devices, consolidation points and suppliers. The pilot study also illustrates the benefits and advantages of such a portal system. © 2019 Elsevier Ltd","Blockchain; Key performance indicators; Real-time; Supply chain management","Benchmarking; Blockchain; Internet of things; Supply chain management; Distributed architecture; Key performance indicators; Measure and controls; Real time; Real time supply chain; Real-time information; Supply chain process; Tracking and tracing; Radio frequency identification (RFID)",Article,"Final",,Scopus,2-s2.0-85075777905
"Yohan A., Lo N.-W.","56429733900;23389650800;","FOTB: a secure blockchain-based firmware update framework for IoT environment",2020,"International Journal of Information Security","19","3",,"257","278",,,"10.1007/s10207-019-00467-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073963590&doi=10.1007%2fs10207-019-00467-6&partnerID=40&md5=4b36fcd0e2a84d6235e451dde52233b0","Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan","Yohan, A., Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan; Lo, N.-W., Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan","Recently, numerous exploitations and attacks in IoT environment occurred all over the world. One of the major attacking channels is utilizing the firmware of IoT devices as the access interface to compromise the targeted IoT devices. Therefore, it is important for IoT device manufacturers to support secure and efficient firmware update functionality for sold or deployed IoT devices. In this paper, a secure and verifiable blockchain-based firmware update framework for IoT environment is proposed. The aims of the proposed framework are providing secure peer-to-peer verification mechanism on each new version of firmware released by corresponding device manufacturer and providing a reliable way to distribute the updated firmware to IoT devices in timely manner. Furthermore, the utilization of blockchain technology in the proposed framework ensures the integrity of firmware during its distribution through Internet. The proposed firmware update framework consists of four processes: creation of firmware update contract, creation of third-party firmware update contract, PUSH update mechanism and PULL update mechanism. Six corresponding protocols are derived to support the four processes. The evaluation on performance and security strength of the proposed firmware update framework is conducted. Based on the proofs of formal security analysis, the proposed framework supports mutual authentication and defends against major cyber attacks: firmware modification attack, impersonation attack, man-in-the-middle attack and replay attack. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","Blockchain; ECDH; Firmware update; Internet of Things; Smart contract","Blockchain; Firmware; Manufacture; Network security; ECDH; Firmware updates; Formal security analysis; Impersonation attack; Man in the middle attacks; Modification attack; Mutual authentication; Security strengths; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85073963590
"Liu X.L., Wang W.M., Guo H., Barenji A.V., Li Z., Huang G.Q.","57204569405;8232186000;57204719296;55616657900;57189370824;7403425048;","Industrial blockchain based framework for product lifecycle management in industry 4.0",2020,"Robotics and Computer-Integrated Manufacturing","63",, 101897,"","",,4,"10.1016/j.rcim.2019.101897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075262668&doi=10.1016%2fj.rcim.2019.101897&partnerID=40&md5=becfd15a3ed9b586fe0f9e70f196cc49","Guangdong Provincial Key Lab. of Computer Integrated Manufacturing Systems, School of Electromechanical Engineering, Guangdong University of Technology Guangzhou, Guangdong, China; Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Hong Kong","Liu, X.L., Guangdong Provincial Key Lab. of Computer Integrated Manufacturing Systems, School of Electromechanical Engineering, Guangdong University of Technology Guangzhou, Guangdong, China, Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Hong Kong; Wang, W.M., Guangdong Provincial Key Lab. of Computer Integrated Manufacturing Systems, School of Electromechanical Engineering, Guangdong University of Technology Guangzhou, Guangdong, China; Guo, H., Guangdong Provincial Key Lab. of Computer Integrated Manufacturing Systems, School of Electromechanical Engineering, Guangdong University of Technology Guangzhou, Guangdong, China; Barenji, A.V., Guangdong Provincial Key Lab. of Computer Integrated Manufacturing Systems, School of Electromechanical Engineering, Guangdong University of Technology Guangzhou, Guangdong, China; Li, Z., Guangdong Provincial Key Lab. of Computer Integrated Manufacturing Systems, School of Electromechanical Engineering, Guangdong University of Technology Guangzhou, Guangdong, China, Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Hong Kong; Huang, G.Q., Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Hong Kong","Product lifecycle management (PLM) aims to seamlessly manage all products and information and knowledge generated throughout the product lifecycle for achieving business competitiveness. Conventionally, PLM is implemented based on standalone and centralized systems provided by software vendors. The information of PLM is hardly to be integrated and shared among the cooperating parties. It is difficult to meet the requirements of the openness, interoperability and decentralization of the Industry 4.0 era. To address these challenges, this paper proposed an industrial blockchain-based PLM framework to facilitate the data exchange and service sharing in the product lifecycle. Firstly, we proposed the concept of industrial blockchain as the use of blockchain technology in the industry with the integration of IoT, M2M, and efficient consensus algorithms. It provided an open but secured information storage and exchange platform for the multiple stakeholders to achieve the openness, interoperability and decentralization in era of industry 4.0. Secondly, we proposed and developed customized blockchain information service to fulfill the connection between a single node with the blockchain network. As a middleware, it can not only process the multi-source and heterogeneous data from varied stages in the product lifecycle, but also broadcast the processed data to the blockchain network. Moreover, smart contract is used to automate the alert services in the product lifecycles. Finally, we illustrated the blockchain-based application between the cooperating partners in four emerging product lifecycle stages, including co-design and co-creation, quick and accurate tracking and tracing, proactive maintenance, and regulated recycling. A simulation experiment demonstrated the effectiveness and efficiency of the proposed framework. The results showed that the proposed framework is scalable and efficient, and hence it is feasible to be adopted in industry. With the successful development of the proposed platform, it is promising to provide an effective PLM for improving interoperability and cooperation between stakeholders in the entire product lifecycle. © 2019","Industrial blockchain; Industry 4.0; Product lifecycle management; Smart contract","Blockchain; Competition; Digital storage; Electronic data interchange; Industry 4.0; Information services; Interoperability; Middleware; Product design; Centralized systems; Consensus algorithms; Cooperating parties; Effectiveness and efficiencies; Multiple stakeholders; Proactive maintenance; Product life cycle management; Product life cycles; Life cycle",Article,"Final",,Scopus,2-s2.0-85075262668
"Krishnamurthy R., Rathee G., Jaglan N.","57197382600;56357928400;56550049400;","An enhanced security mechanism through blockchain for E-polling/counting process using IoT devices",2020,"Wireless Networks","26","4",,"2391","2402",,,"10.1007/s11276-019-02112-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070352485&doi=10.1007%2fs11276-019-02112-5&partnerID=40&md5=631f4e4e62a9a60df710dade28fa8f9e","Department of Electronics and Communication Engineering, Sri Vasavi Engineering College, Tadepalligudem, Andhra Pradesh, India; Department of Computer Science and Engineering, Jaypee University of Information Technology, Waknaghat, Solan, H.P  173234, India; Department of Electronics and Communication, Jaypee University of Information Technology, Waknaghat, Solan, H.P  173234, India","Krishnamurthy, R., Department of Electronics and Communication Engineering, Sri Vasavi Engineering College, Tadepalligudem, Andhra Pradesh, India; Rathee, G., Department of Computer Science and Engineering, Jaypee University of Information Technology, Waknaghat, Solan, H.P  173234, India; Jaglan, N., Department of Electronics and Communication, Jaypee University of Information Technology, Waknaghat, Solan, H.P  173234, India","One of the biggest challenges in political mayhem is visible during the election process where no stone is kept unturned in order to gain the power. Further, due to poll violence and waiting in the long queues to cast their votes, numbers of common citizens avoid the voting process completely in order to evade the chaos. In order to reduce these issues or to increase the voting rate, number of smart based or IoT enabled voting applications has been projected by various authors. However, IoT devices can be easily compromised or hacked by the experts (intruders) in order to gain their own access. Therefore, to ensure an enhanced secure and transparent polling process, Blockchain plays a vital role in ensuring the legit votes and their counting without their manipulation in any way. It is also needed in today’s times where the world is available to people in their IoT or smart devices to also give them the opportunity to register their votes hassle free via their smart devices without having to worry about the system getting hacked. Therefore, in this paper, the proposed layout will be based on an enhanced security through Blockchain in E-voting application using IoT devices where the user will create an account with proper verification done via voter id and other biometric methods on a smart device. Every transaction done via this account which in this case will be registering vote will be validated by a miner. The proposed Blockchain mechanism for E-polling using IoT devices is again validated and verified through several parameters such as response time, resource utilization and request processed. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.","Blockchain; Blockchain voting; E-voting/polling; IoT devices; Voting threats","Blockchain; Electronic voting; Biometric methods; IoT devices; Resource utilizations; Security mechanism; Smart devices; Voting process; Voting threats; Internet of things",Article,"Final",,Scopus,2-s2.0-85070352485
"Mazzei D., Baldi G., Fantoni G., Montelisciani G., Pitasi A., Ricci L., Rizzello L.","24722022100;57209079408;8515018000;55434042000;57212459494;7007055633;57188974363;","A Blockchain Tokenizer for Industrial IOT trustless applications",2020,"Future Generation Computer Systems","105",,,"432","445",,2,"10.1016/j.future.2019.12.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076705255&doi=10.1016%2fj.future.2019.12.020&partnerID=40&md5=a9da9f5c1136de193dd56d11bbed2e0d","Department of Computer Science, University of Pisa, Italy; Department of Civil and Industrial Engineering, University of Pisa, Italy; Zerynth, United States","Mazzei, D., Department of Computer Science, University of Pisa, Italy; Baldi, G., Zerynth, United States; Fantoni, G., Department of Civil and Industrial Engineering, University of Pisa, Italy; Montelisciani, G., Zerynth, United States; Pitasi, A., Zerynth, United States; Ricci, L., Department of Computer Science, University of Pisa, Italy; Rizzello, L., Zerynth, United States","The Blockchain is a novel technology with a wide range of potential industrial applications. Despite a vast range of tests, prototypes, and proof of concepts implemented in the last years, the industrial use of Blockchain technology is still in the early stages. Enabling the interaction of industrial Internet of Things (IOT) platforms with Blockchain might be challenging because standards are still missing in both these technologies. Moreover, integrating productive assets with distributed data exchange and storage technologies is a kind of activity that needs to take into account various aspects, in particular: interoperability, portability, scalability, and security that need to be guaranteed by design. This paper describes the implementation of a portable, platform-agnostic and secure Blockchain Tokenizer for Industrial IOT trustless applications. The Industrial Blockchain Tokenizer (IBT) is based on an industrial data acquisition unit able to gather data from both modern and legacy machines while also interfacing directly with sensors. Acquired data can be processed locally enabling an edge filtering paradigm and then sent to any Blockchain platform. The system has been designed, implemented and then tested on two supply chain scenarios. Tests demonstrated the system capability to act as a bridge between industrial assets and Blockchain platforms enabling the generation of immutable and trust-less “digital twins” for industrial IOT applications. © 2019 Elsevier B.V.","Blockchain; Ethereum; Industrial IOT; Industry 4.0; Smart contract; Supply chain","Blockchain; Data acquisition; Digital storage; Electronic data interchange; Ethereum; Industry 4.0; Supply chains; Distributed data; Industrial datum; Industrial IOT; Internet of Things (IOT); IOT applications; Proof of concept; Storage technology; System capabilities; Internet of things",Article,"Final",,Scopus,2-s2.0-85076705255
"Rathee G., Sharma A., Saini H., Kumar R., Iqbal R.","56357928400;57191186424;23095548700;57214462163;56377142400;","A hybrid framework for multimedia data processing in IoT-healthcare using blockchain technology",2020,"Multimedia Tools and Applications","79","15-16",,"9711","9733",,6,"10.1007/s11042-019-07835-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066985305&doi=10.1007%2fs11042-019-07835-3&partnerID=40&md5=b49d06bad0cc08e7a672b0f185bd0b93","Department of Computer Science and Engineering, Jaypee University of Information Technology, Waknaghat, Solan, HP, India; Department of Electronics and Communication, Jaypee University of Information Technology, Waknaghat, Solan, HP, India; College of Computer Information Technology, AUE, Dubai, United Arab Emirates","Rathee, G., Department of Computer Science and Engineering, Jaypee University of Information Technology, Waknaghat, Solan, HP, India; Sharma, A., Department of Electronics and Communication, Jaypee University of Information Technology, Waknaghat, Solan, HP, India; Saini, H., Department of Computer Science and Engineering, Jaypee University of Information Technology, Waknaghat, Solan, HP, India; Kumar, R., Department of Electronics and Communication, Jaypee University of Information Technology, Waknaghat, Solan, HP, India; Iqbal, R., College of Computer Information Technology, AUE, Dubai, United Arab Emirates","Through the propagation of technology in recent years, people communicate in a range of ways via multimedia. The use of multimedia technique in healthcare system also makes it possible to store, process and transfer the patient’s data presented in variety of forms such as images, text and audio through online using various smart objects. Healthcare organizations around the world are transforming themselves into more efficient, coordinated and user-centered systems through various multimedia techniques. However, the management of huge amount data such as reports and images of every person leads to increase the human efforts and security risks. In order to overcome these issues, IoT in healthcare enhances the quality of patients care and reduce the cost by allocating the medical resources in an efficient way. However, a number of threats can occur in IoT devices initiated by various intruders. Sometimes, in order to make their personal profit, even though the medical shop or pathology labs are not of good reputation, the doctors forced the patients to do the lab tests, or buy the medicines from those organizations only. Therefore, security should be at the staple of outlook in IoT elucidations. In order to prevent these issues, Blockchain technology has been encountered as the best technique that provides the secrecy and protection of control system in real time conditions. In this manuscript, we will provide a security framework of healthcare multimedia data through blockchain technique by generating the hash of each data so that any change or alteration in data or breaching of medicines may be reflected in entire blockchain network users. The results have been analyzed against conventional approach and validated with improved simulated results that offer 86% success rate over product drop ratio, falsification attack, worm hole attack and probabilistic authentication scenarios because of Blockchain technique. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.","Block chain; Healthcare systems; IoT devices; IoT-healthcare; Multimedia data security; Security","Blockchain; Data handling; Health care; Man machine systems; Medicine; Conventional approach; Health-care system; Healthcare organizations; IoT devices; Multimedia data; Multimedia techniques; Security; User-centered systems; Internet of things",Article,"Final",,Scopus,2-s2.0-85066985305
"Hong S.","55583138200;","P2P networking based internet of things (IoT) sensor node authentication by Blockchain",2020,"Peer-to-Peer Networking and Applications","13","2",,"579","589",,2,"10.1007/s12083-019-00739-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073997346&doi=10.1007%2fs12083-019-00739-x&partnerID=40&md5=365195fdc8e77954ebe37aca4f94b87a","Division of Communication and Information Technology, Baekseok University, Cheonan, Chungnam  31065, South Korea","Hong, S., Division of Communication and Information Technology, Baekseok University, Cheonan, Chungnam  31065, South Korea","Sensor nodes play a major role in IoT environment, and each sensor is a peer to peer networking. Due to limited physical size, IoT sensor nodes must have light-weight authentication protocol. The Internet of Things (IoT) is a collection of various technical elements. It is expected that interworking between heterogeneous terminals, networks, and applications. They will accelerate through the liberalization of the IoT platform. As a result, many technical and administrative security threats will arise in the IoT environment. Sensor node protocols must be light-weight and secure. As IoT devices are used for various purposes, for some devices that require performance, the OS with a high-performance chipset that works, most passwords protocol. However, to turn on / off the lights IoT devices that perform simple tasks such as based on a low-performance chipset with no OS running. If it does not support encryption protocol or certificate, then it is vulnerable, and it does not have enough performance to handle. Therefore, in this paper, Block-chain-based IoT device is proposed to get a more secure authentication scheme. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.","Light-weight protocol; Network security; Node authentication; P2P networking; Secure IoT; Sensor network","Authentication; Blockchain; Cryptography; Network protocols; Network security; Peer to peer networks; Sensor networks; Sensor nodes; Authentication protocols; Internet of thing (IOT); Internet of Things (IOT); Lightweight protocols; Node authentications; P2P networking; Peer-to-peer networking; Secure IoT; Internet of things",Article,"Final",,Scopus,2-s2.0-85073997346
