Reference Type,Author,Title,Year,Secondary Title,DOI,URL,Abstract,Keywords,Label
Conference Proceedings,Yohan A.; Lo N.-W.,FOTB: a secure blockchain-based firmware update framework for IoT environment,2020,International Journal of Information Security,10.1007/s10207-019-00467-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073963590&doi=10.1007%2fs10207-019-00467-6&partnerID=40&md5=4b36fcd0e2a84d6235e451dde52233b0,"Recently, numerous exploitations and attacks in IoT environment occurred all over the world. One of the major attacking channels is utilizing the firmware of IoT devices as the access interface to compromise the targeted IoT devices. Therefore, it is important for IoT device manufacturers to support secure and efficient firmware update functionality for sold or deployed IoT devices. In this paper, a secure and verifiable blockchain-based firmware update framework for IoT environment is proposed. The aims of the proposed framework are providing secure peer-to-peer verification mechanism on each new version of firmware released by corresponding device manufacturer and providing a reliable way to distribute the updated firmware to IoT devices in timely manner. Furthermore, the utilization of blockchain technology in the proposed framework ensures the integrity of firmware during its distribution through Internet. The proposed firmware update framework consists of four processes: creation of firmware update contract, creation of third-party firmware update contract, PUSH update mechanism and PULL update mechanism. Six corresponding protocols are derived to support the four processes. The evaluation on performance and security strength of the proposed firmware update framework is conducted. Based on the proofs of formal security analysis, the proposed framework supports mutual authentication and defends against major cyber attacks: firmware modification attack, impersonation attack, man-in-the-middle attack and replay attack. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Blockchain; ECDH; Firmware update; Internet of Things; Smart contract,Yohan:2020:1
Article,Mazzei D.; Baldi G.; Fantoni G.; Montelisciani G.; Pitasi A.; Ricci L.; Rizzello L.,A Blockchain Tokenizer for Industrial IOT trustless applications,2020,Future Generation Computer Systems,10.1016/j.future.2019.12.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076705255&doi=10.1016%2fj.future.2019.12.020&partnerID=40&md5=a9da9f5c1136de193dd56d11bbed2e0d,"The Blockchain is a novel technology with a wide range of potential industrial applications. Despite a vast range of tests, prototypes, and proof of concepts implemented in the last years, the industrial use of Blockchain technology is still in the early stages. Enabling the interaction of industrial Internet of Things (IOT) platforms with Blockchain might be challenging because standards are still missing in both these technologies. Moreover, integrating productive assets with distributed data exchange and storage technologies is a kind of activity that needs to take into account various aspects, in particular: interoperability, portability, scalability, and security that need to be guaranteed by design. This paper describes the implementation of a portable, platform-agnostic and secure Blockchain Tokenizer for Industrial IOT trustless applications. The Industrial Blockchain Tokenizer (IBT) is based on an industrial data acquisition unit able to gather data from both modern and legacy machines while also interfacing directly with sensors. Acquired data can be processed locally enabling an edge filtering paradigm and then sent to any Blockchain platform. The system has been designed, implemented and then tested on two supply chain scenarios. Tests demonstrated the system capability to act as a bridge between industrial assets and Blockchain platforms enabling the generation of immutable and trust-less “digital twins” for industrial IOT applications. © 2019 Elsevier B.V.",Blockchain; Ethereum; Industrial IOT; Industry 4.0; Smart contract; Supply chain,Mazzei:2020:1
Article,Hong S.,P2P networking based internet of things (IoT) sensor node authentication by Blockchain,2020,Peer-to-Peer Networking and Applications,10.1007/s12083-019-00739-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073997346&doi=10.1007%2fs12083-019-00739-x&partnerID=40&md5=365195fdc8e77954ebe37aca4f94b87a,"Sensor nodes play a major role in IoT environment, and each sensor is a peer to peer networking. Due to limited physical size, IoT sensor nodes must have light-weight authentication protocol. The Internet of Things (IoT) is a collection of various technical elements. It is expected that interworking between heterogeneous terminals, networks, and applications. They will accelerate through the liberalization of the IoT platform. As a result, many technical and administrative security threats will arise in the IoT environment. Sensor node protocols must be light-weight and secure. As IoT devices are used for various purposes, for some devices that require performance, the OS with a high-performance chipset that works, most passwords protocol. However, to turn on / off the lights IoT devices that perform simple tasks such as based on a low-performance chipset with no OS running. If it does not support encryption protocol or certificate, then it is vulnerable, and it does not have enough performance to handle. Therefore, in this paper, Block-chain-based IoT device is proposed to get a more secure authentication scheme. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Light-weight protocol; Network security; Node authentication; P2P networking; Secure IoT; Sensor network,Hong:2020:1
Article,Alonso R.S.; Sitton-Candanedo I.; Garcia O.; Prieto J.; Rodriguez-Gonzalez S.,An intelligent Edge-IoT platform for monitoring livestock and crops in a dairy farming scenario,2020,Ad Hoc Networks,10.1016/j.adhoc.2019.102047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076174369&doi=10.1016%2fj.adhoc.2019.102047&partnerID=40&md5=820e8334fe1a78f763d927e6ba88ec0e,"Today's globalized and highly competitive world market has broadened the spectrum of requirements in all the sectors of the agri-food industry. This paper focuses on the dairy industry, on its need to adapt to the current market by becoming more resource efficient, environment-friendly, transparent and secure. The Internet of Things (IoT), Edge Computing (EC) and Distributed Ledger Technologies (DLT) are all crucial to the achievement of those improvements because they allow to digitize all parts of the value chain, providing detailed information to the consumer on the final product and ensuring its safety and quality. In Smart Farming environments, IoT and DLT enable resource monitoring and traceability in the value chain, allowing producers to optimize processes, provide the origin of the produce and guarantee its quality to consumers. In comparison to a centralized cloud, EC manages the Big Data generated by IoT devices by processing them at the network edge, allowing for the implementation of services with shorter response times, and a higher Quality of Service (QoS) and security. This work presents a platform oriented to the application of IoT, Edge Computing, Artificial Intelligence and Blockchain techniques in Smart Farming environments, by means of the novel Global Edge Computing Architecture, and designed to monitor the state of dairy cattle and feed grain in real time, as well as ensure the traceability and sustainability of the different processes involved in production. The platform is deployed and tested in a real scenario on a dairy farm, demonstrating that the implementation of EC contributes to a reduction in data traffic and an improvement in the reliability in communications between the IoT-Edge layers and the Cloud. © 2019 Elsevier B.V.",Distributed ledger technologies; Edge computing; Internet of things; Livestock monitoring; Precision agriculture; Smart farming,Alonso:2020:1
Article,Lee Y.J.; Lee K.M.; Lee S.H.,Blockchain-based reputation management for custom manufacturing service in the peer-to-peer networking environment,2020,Peer-to-Peer Networking and Applications,10.1007/s12083-019-00730-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065744826&doi=10.1007%2fs12083-019-00730-6&partnerID=40&md5=f497b27a128413ec4a3d8b68a7da0e2b,"Blockchain enables users to be autonomous without the need of trust by using a digital ledger of decentralized consensus. Blockchain-based IoT allows service providers to transfer the security and maintenance responsibility to self-maintaining customers. Adopting peer-to-peer (P2P) networking and computing for more than billions of transactions can reduce the costs arising from the installation and maintenance of centralized systems. Small manufacturers providing industrial IoT (IIoT) services can participate more actively in blockchain-based IIoT applications with three-dimensional printing and digital manufacturing technologies, but the measure to maintain privacy on a blockchain is not robust. Here, we propose a P2P networking-based custom manufacturing service, which is an order-driven trading service between a manufacturer and a customer in the blockchain-based IIoT architecture. The proposed system consists of reputation management and service architecture. We propose a new reputation assessment method customized to increase the reliability and accuracy of industrial manufacturing systems. We also propose a manufacturer rating classification to guide the customers’ decision making in a reliable manner and a malicious evaluator identification to exclude feedbacks from malicious evaluators. The proposed service architecture is composed of trustless P2P protocols designed for preserving privacy and providing non-repudiation. We used a cryptographic algorithm for ensuring transaction privacy and the digital signing of blockchain for non-repudiation. We also analyzed the proposed service architecture and the possible attack scenarios to verify the security requirements. We verified that the reputation management system was influenced by each feedback dynamically and guided the customer’s present decision making with reliable and classified manners, by simulating reputation classification and malicious evaluator identification. Further, we have summarized the originality and the characteristics of the proposed approach by comparing closely related studies and concluded with a future research guide. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Blockchain; Custom manufacturing; Peer to peer networking; Reputation; Trustless,Lee:2020:1
Article,Fan K.; Sun S.; Yan Z.; Pan Q.; Li H.; Yang Y.,A blockchain-based clock synchronization Scheme in IoT,2019,Future Generation Computer Systems,10.1016/j.future.2019.06.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068376424&doi=10.1016%2fj.future.2019.06.007&partnerID=40&md5=95077cc9030653f0ba2ae7422a0ac75c,"As an important part of new generation of information technology, Internet of Things (IoT), which is developing rapidly, requires high time accuracy. However, malicious nodes located in an IoT network can influence clock synchronization. The security issues of time transfer and consistency are critical and challenging. In this paper, we propose a secure scheme based on blockchain to solve the problem of time synchronization in IoT. In the distributed network of IoT, a blockchain is utilized to record and broadcast time in order to reduce attacks from external environments with the property of passing trust. Moreover, this scheme has the advantage of low-latency by employing a consensus mechanism based on Proof of Stability. Serious analysis and simulation show that the scheme can effectively resist malicious attacks and reduce the latency of consensus process by comparing with traditional methods. © 2019 Elsevier B.V.",Blockchain; Clock synchronization; Consensus; Internet of Things,Fan:2019:1
Article,Kochovski P.; Gec S.; Stankovski V.; Bajec M.; Drobintsev P.D.,Trust management in a blockchain based fog computing platform with trustless smart oracles,2019,Future Generation Computer Systems,10.1016/j.future.2019.07.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070732476&doi=10.1016%2fj.future.2019.07.030&partnerID=40&md5=57a45554627ab3e4bcd47ef41e26f64f,"Trust is a crucial aspect when cyber-physical systems have to rely on resources and services under ownership of various entities, such as in the case of Edge, Fog and Cloud computing. The DECENTER's Fog Computing Platform is developed to support Big Data pipelines, which start from the Internet of Things (IoT), such as cameras that provide video-streams for subsequent analysis. It is used to implement Artificial Intelligence (AI) algorithms across the Edge-Fog-Cloud computing continuum which provide benefits to applications, including high Quality of Service (QoS), improved privacy and security, lower operational costs and similar. In this article, we present a trust management architecture for DECENTER that relies on the use of blockchain-based Smart Contracts (SCs) and specifically designed trustless Smart Oracles. The architecture is implemented on Ethereum ledger (testnet) and three trust management scenarios are used for illustration. The scenarios (trust management for cameras, trusted data flow and QoS based computing node selection) are used to present the benefits of establishing trust relationships among entities, services and stakeholders of the platform. © 2019 Elsevier B.V.",Blockchain; Fog; Smart contract; Smart oracle; Trust,Kochovski:2019:1
Article,Shafeeq S.; Alam M.; Khan A.,Privacy aware decentralized access control system,2019,Future Generation Computer Systems,10.1016/j.future.2019.06.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068117745&doi=10.1016%2fj.future.2019.06.025&partnerID=40&md5=5b0b9975103840acc0875e15b901387a,"IoT security and privacy have proven to be a significant challenge. The traditional access control protocols are not suitable for IoT mainly due to a massive scale, ubiquitous connectivity and distributed nature. Blockchain based access control approaches provide decentralized security but they involve scalability problem, high transaction fees, a significant delay, and computational overhead that is not acceptable for resource-constrained IoT devices. Moreover, data published on the blockchain are public which is not ideal for many scenarios. In this paper, we proposed a new decentralized access control system based on the Tangle which empowers the users to dictate the access to their resource. In our proposed decentralized access control model the policies and access rights are published on the Tangle which guarantees distributed auditability and prevents the user from fraudulently denying the granted access rights. The main contribution of the paper is to provide privacy of the policy by leveraging Masked Authenticated Messaging (MAM) data communication protocol. The proposed work is validated by implementation and is tested with AVISPA tool which confirms security in the presence of the intruder. © 2019 Elsevier B.V.",ABAC; Access control; Blockchain; Internet of things; IOTA; Tangle,Shafeeq:2019:1
Conference Proceedings,Stucchi D.; Susella R.; Fragneto P.; Rossi B.,Secure and Effective Implementation of an IOTA Light Node using STM32,2019,BlockSys 2019 - Proceedings of the 2019 Workshop on Blockchain-Enabled Networked Sensor Systems,10.1145/3362744.3363344,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076623032&doi=10.1145%2f3362744.3363344&partnerID=40&md5=3c7aa7fc402563bd345119f893dc94c4,"A major challenge in networked sensor systems and other IoT environments is addressing security. Vulnerabilities in those systems arise from poor physical security, unauthenticated devices, insecure firmware updates, insecure communication, and data corruption. In recent times Distributed Ledger Technologies (DLTs), of which Blockchain is an instance, have been identified as a possible solution to some of these issues. The blokchain model genetically ensures decentralized security and privacy, and therefore could provide IoT systems with a trusted infrastructure for securely logging data or exchanging tokens without the necessity, and costs, of central servers. Blockchain is no panacea, either. IoT devices that get connected to a blockchain network must still be secured, in particular they must protect the confidentiality of the keys. This requires the embedded microcontroller to execute only authenticated firmware, with protections against software attacks, such as buffer overflows, and resistance against side-channel attacks. In addition, as confirmed from the scarcity of implementations reported in the literature, it is still not clear whether blockchain protocols can be implemented efficiently on resource-constrained IoT devices. In this work, also supported by a Demo, we show an example of secure IoT device that enables the functionalities of IOTA, a DLT specifically designed for the use in the IoT. In particular, we present a Light Node based on STM32 that implements all the cryptographic functions, IOTA specific operations and communication functions required to successfully publish transactions in the IOTA distributed ledger. Our implementations on microcontrollers (ARM Cortex-M) performs up to 22 times faster in terms of cycles and up to 4 times faster in absolute time with respect to the state-of-The-Art implementation on a Raspberry PI 3B. Our Light Node also ensures protection of the stored private data and guarantees secure firmware update thanks to a suitable configuration of some security features provided by STM32 microcontrollers. © BlockSys 2019 - Proceedings of the 2019 Workshop on Blockchain-Enabled Networked Sensor Systems. All rights reserved.",Distributed Ledger Technology; Internet of Things; IOTA; Networked Systems; Security; STM32,Stucchi:2019:1
Article,Spathoulas G.; Giachoudis N.; Damiris G.-P.; Theodoridis G.,Collaborative blockchain-based detection of distributed denial of service attacks based on internet of things botnets,2019,Future Internet,10.3390/fi11110226,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075351570&doi=10.3390%2ffi11110226&partnerID=40&md5=762c7557dc9615e05f5b40303b421947,"Internet of Things is one of the most significant latest developments in computer science. It is common for modern computing infrastructures to partially consist of numerous low power devices that are characterized by high diversity in both hardware and software. Existing security models, approaches and solutions are not able to sufficiently protect such systems. In this paper we propose the use of lightweight agents installed at multiple internet of things (IoT) installations (e.g., smart-homes), in order to collaboratively detect distributed denial of service (DDoS) attacks conducted by the use of IoT devices botnets. Specifically, agents exchange outbound traffic information in order to identify possible victims of DDoS attacks. This information exchange is governed by a blockchain smart contract, that ensures the integrity of both the procedure and the information. A simulation of the operation of the proposed methodology has been conducted in order to evaluate both its detection efficiency and its resilience against malicious agents that aim to falsify results. © 2019 by the authors.",Agents; Blockchain; Botnets; DDoS; Detection; IoT; Security,Spathoulas:2019:1
