,type,doi,booktitle,title,author,ENTRYTYPE,ID,year,journal
0,Conference Proceedings,10.1109/SMARTCOMP.2019.00049,"""Proceedings - 2019 IEEE International Conference on Smart Computing, SMARTCOMP 2019""",BRUSCHETTA: An IoT blockchain-based framework for certifying extra virgin olive oil supply chain,"A., Arena and A., Bianchini and P., Perazzo and C., Vallati and G., Dini",inproceedings,Arena:2019:1,,
1,Conference Proceedings,10.1109/ICIOT.2019.00034,"""Proceedings - 2019 IEEE International Congress on Internet of Things, ICIOT 2019 - Part of the 2019 IEEE World Congress on Services""",Advancements towards Global IoT device discovery and integration,"A., Dawod and D., Georgakopoulos and P.P., Jayaraman and A., Nirmalathas",inproceedings,Dawod:2019:1,,
2,Journal Article,10.1109/ACCESS.2019.2948269,,Estimating service quality in industrial internet-of-things monitoring applications with blockchain,"A., Maiti and A., Raza and B.H., Kang and L., Hardy",article,Maiti:2019:1,2019,IEEE Access
3,Conference Proceedings,10.1109/ELECSYM.2019.8901530,"""IES 2019 - International Electronics Symposium: The Role of Techno-Intelligence in Creating an Open Energy System Towards Energy Democracy, Proceedings""",ArmChain - A Blockchain Based Sensor Data Communication for the Vehicle as a Mobile Sensor Network,"A.A., Yusuf and D., Kurnia Basuki and S., Sukaridhoto and Y.P., Pratama and F., Bramasta Putra and H., Yulianus",inproceedings,Yusuf:2019:1,,
4,Conference Proceedings,10.1109/ICCED.2018.00053,"""Proceedings - 2018 4th International Conference on Computing, Engineering, and Design, ICCED 2018""","""Rice donation system in orphanage based on internet of things, raspberry-pi, and blockchain""","A.P., Junfithrana and E., Liani and M.Z., Suwono and D., Meldiana and A., Suryana",inproceedings,Junfithrana:2019:1,,
5,Conference Proceedings,10.1109/iThings/GreenCom/CPSCom/SmartData.2019.00191,"""Proceedings - 2019 IEEE International Congress on Cybermatics: 12th IEEE International Conference on Internet of Things, 15th IEEE International Conference on Green Computing and Communications, 12th IEEE International Conference on Cyber, Physical and Social Computing and 5th IEEE International Conference on Smart Data, iThings/GreenCom/CPSCom/SmartData 2019""","""A hardware-software codesign approach to identity, trust, and resilience for IoT/CPS at scale""","F., Kandah and J., Cancelleri and D., Reising and A., Altarawneh and A., Skjellum",inproceedings,Kandah:2019:1,,
6,Journal Article,10.1109/ACCESS.2019.2909170,,"""DL-Tags: DLT and Smart Tags for Decentralized, Privacy-Preserving, and Verifiable Supply Chain Management""","F.M., Bencic and P., Skocir and I.P., Zarko",article,Bencic:2019:1,2019,IEEE Access
7,Journal Article,10.1016/j.cose.2019.06.010,,Blockchain based permission delegation and access control in Internet of Things (BACI),"G., Ali and N., Ahmad and Y., Cao and M., Asif and H., Cruickshank and Q.E., Ali",article,Ali:2019:1,2019,Computers and Security
8,Conference Proceedings,10.1109/ICC.2019.8761664,IEEE International Conference on Communications,Blockchain Empowered Resource Trading in Mobile Edge Computing and Networks,"G., Qiao and S., Leng and H., Chai and A., Asadi and Y., Zhang",inproceedings,Qiao:2019:1,,
9,Journal Article,10.3390/fi11110226,,Collaborative blockchain-based detection of distributed denial of service attacks based on internet of things botnets,"G., Spathoulas and N., Giachoudis and G.-P., Damiris and G., Theodoridis",article,Spathoulas:2019:1,2019,Future Internet
10,Conference Proceedings,10.1109/CISCE.2019.00130,"""Proceedings - 2019 International Conference on Communications, Information System, and Computer Engineering, CISCE 2019""",Blockchain-enabled security-aware applications in home internet of thing,"G., Zhang and J., Xie",inproceedings,Zhang:2019:1,,
11,Conference Proceedings,10.1109/ICCChinaW.2019.8849969,"""2019 IEEE/CIC International Conference on Communications Workshops in China, ICCC Workshops 2019""",IoT data management and lineage traceability: A blockchain-based solution,"H., Cui and Z., Chen and Y., Xi and H., Chen and J., Hao",inproceedings,Cui:2019:1,,
12,Journal Article,10.1016/j.cie.2019.07.022,,Smart contract-based approach for efficient shipment management,"H., Hasan and E., AlHadhrami and A., AlDhaheri and K., Salah and R., Jayaraman",article,Hasan:2019:1,2019,Computers and Industrial Engineering
13,Conference Proceedings,10.1109/ISCIT.2019.8905219,"""Proceedings - 2019 19th International Symposium on Communications and Information Technologies, ISCIT 2019""",Enhanced Security of IoT Data Sharing Management by Smart Contracts and Blockchain,"H.-A., Pham and T.-K., Le and T.-N.-M., Pham and H.-Q.-T., Nguyen and T.-V., Le",inproceedings,Pham:2019:1,,
14,Journal Article,10.1109/JCN.2019.000043,,An intelligent agriculture network security system based on private blockchains,"H.-T., Wu and C.-W., Tsai",article,Wu:2019:1,2019,Journal of Communications and Networks
15,Conference Proceedings,10.1109/IWCMC.2019.8766506,"""2019 15th International Wireless Communications and Mobile Computing Conference, IWCMC 2019""",A blockchain based access control for IoT,"I., Riabi and Y., Dhif and H.K.B., Ayed and K., Zaatouri",inproceedings,Riabi:2019:1,,
16,Journal Article,10.1016/j.future.2019.06.007,,A blockchain-based clock synchronization Scheme in IoT,"K., Fan and S., Sun and Z., Yan and Q., Pan and H., Li and Y., Yang",article,Fan:2019:1,2019,Future Generation Computer Systems
17,Conference Proceedings,10.1109/CAMAD.2019.8858488,"""IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks, CAMAD""","""Cognition enabled IoT platform for industrial IoT safety, security and privacy-the CHARIOT project""","K., Loupos and B., Caglayan and A., Papageorgiou and B., Starynkevitch and F., Vedrine and C., Skoufis and S., Christofi and B., Karakostas and A., Mygiakis and G., Theofilis and A., Chiappetta and H., Avgoustidis and G., Boulougouris",inproceedings,Loupos:2019:1,,
